provider,scenario_id,sample_size,bandwidth,threshold,calibration_mean,calibration_median,calibration_sd,B
gemini,CP02,25,0.26245489400942335,0.0472329165944233,0.031059263371163468,0.029557824236018937,0.008724932093373782,2000
gemini,CP02,30,0.26245489400942335,0.04013438623921149,0.02607753542441005,0.024460579078900313,0.007613865372285922,2000
gemini,CP03,3,0.18637460470870434,0.5538523768576461,0.29974707619516244,0.27296713066064326,0.13017082930956825,2000
gemini,CP03,5,0.18637460470870434,0.3252473555437707,0.1827268474673355,0.16614376258015823,0.07511077034452908,2000
gemini,CP03,7,0.18637460470870434,0.22595765340530088,0.1278062595277273,0.11631816964709385,0.05115292804122378,2000
gemini,CP03,10,0.18637460470870434,0.15834332774366283,0.08951434216625702,0.08076408529239631,0.037045991307638734,2000
gemini,CP03,15,0.18637460470870434,0.10488141660722464,0.060043180636489085,0.05445090999877189,0.024645674917503916,2000
gemini,CP03,20,0.18637460470870434,0.08259439113394479,0.045347884113046896,0.040478017692297974,0.018621338300977414,2000
gemini,CP03,25,0.18637460470870434,0.06481760223441521,0.03614358069607212,0.03255648459950389,0.014830118563939055,2000
gemini,CP03,30,0.18637460470870434,0.052301360289096176,0.02957542292733644,0.026697427800445706,0.011933073313373387,2000
gemini,CP04,3,0.27134822419533683,0.39701724499465874,0.27164157403039474,0.2641948714647978,0.07002072585017519,2000
gemini,CP04,5,0.27134822419533683,0.23205460247039325,0.16263925922612552,0.1581428879875072,0.03848608362132956,2000
gemini,CP04,7,0.27134822419533683,0.16590275112950117,0.11580124924305396,0.11220093034392331,0.027440230776463286,2000
gemini,CP04,10,0.27134822419533683,0.11643264283819653,0.08076495733346485,0.0779551625538829,0.018831174756843875,2000
gemini,CP04,15,0.27134822419533683,0.07631258303430012,0.05409716959396106,0.05240313601809765,0.01204917776238533,2000
