provider,scenario_id,perturbation_family,lambda,mmd2_previous,rho_previous,theta_previous,exceedance_previous,mmd2_current,rho_current,theta_current,exceedance_current,previous_n,current_n,transition,relative_change_mmd2,relative_change_theta,relative_change_rho,signed_change_mmd2,signed_change_theta,signed_change_rho,absolute_change_exceedance_rate,theta_decreased,mmd2_increased,rho_increased
openai,CP03,semantic,0.5,0.3834169007657813,0.8313187275918286,0.461215281263381,0.265,0.2875000168704026,1.0451728889114835,0.275074124023467,0.568,3,5,3->5,0.33362392440698696,0.6766945378840289,0.20461127875444388,-0.33362392440698696,-0.6766945378840289,0.20461127875444388,0.30299999999999994,True,False,True
openai,CP03,semantic,0.75,0.5036655728126603,1.092040080356829,0.461215281263381,0.626,0.3972635668523966,1.444205514650682,0.275074124023467,0.926,3,5,3->5,0.26783731214847956,0.6766945378840289,0.24384717460314723,-0.26783731214847956,-0.6766945378840289,0.24384717460314723,0.30000000000000004,True,False,True
openai,CP03,semantic,1.0,0.4252254313414509,0.9219673515080742,0.461215281263381,0.348,0.3217104747273341,1.1695410314199113,0.275074124023467,0.804,3,5,3->5,0.3217643339149929,0.6766945378840289,0.21168447558549008,-0.3217643339149929,-0.6766945378840289,0.21168447558549008,0.45600000000000007,True,False,True
openai,CP03,context_removal,0.25,0.3521144339456449,0.763449192275498,0.461215281263381,0.208,0.2657548302040673,0.9661207907051096,0.275074124023467,0.449,3,5,3->5,0.32495967683922783,0.6766945378840289,0.20977873613680809,-0.32495967683922783,-0.6766945378840289,0.20977873613680809,0.24100000000000002,True,False,True
openai,CP03,context_removal,0.5,0.88433607217535,1.9174041019476589,0.461215281263381,1.0,0.79688260716351,2.896974079232283,0.275074124023467,1.0,3,5,3->5,0.10974447707314024,0.6766945378840289,0.3381355685254238,-0.10974447707314024,-0.6766945378840289,0.3381355685254238,0.0,True,False,True
openai,CP03,context_removal,0.75,0.6251521196833394,1.3554453746001118,0.461215281263381,0.994,0.5063776485632668,1.8408770739921247,0.275074124023467,1.0,3,5,3->5,0.23455709677760958,0.6766945378840289,0.26369587967071917,-0.23455709677760958,-0.6766945378840289,0.26369587967071917,0.006000000000000005,True,False,True
openai,CP03,context_removal,1.0,0.8564992809568741,1.857048792075392,0.461215281263381,1.0,0.715765607305744,2.602082656254068,0.275074124023467,1.0,3,5,3->5,0.19661977638304542,0.6766945378840289,0.28632213599671713,-0.19661977638304542,-0.6766945378840289,0.28632213599671713,0.0,True,False,True
openai,CP03,surface,0.25,0.5715839158675999,1.2392996049521434,0.461215281263381,0.888,0.4471045112074763,1.6253964737495017,0.275074124023467,1.0,3,5,3->5,0.27841232092234397,0.6766945378840289,0.23754011715474022,-0.27841232092234397,-0.6766945378840289,0.23754011715474022,0.11199999999999999,True,False,True
openai,CP03,surface,0.5,0.9920955564607616,2.151046586624732,0.461215281263381,1.0,0.8711210074877674,3.1668591532566355,0.275074124023467,1.0,3,5,3->5,0.13887226680696593,0.6766945378840289,0.3207634180974844,-0.13887226680696593,-0.6766945378840289,0.3207634180974844,0.0,True,False,True
openai,CP03,surface,0.75,0.6200400794513257,1.344361526254908,0.461215281263381,0.956,0.529267947715363,1.9240920955189893,0.275074124023467,1.0,3,5,3->5,0.17150506114679617,0.6766945378840289,0.30130084241508687,-0.17150506114679617,-0.6766945378840289,0.30130084241508687,0.04400000000000004,True,False,True
openai,CP03,surface,1.0,0.8273680828476768,1.7938869687520196,0.461215281263381,1.0,0.7110676932027395,2.585003935673998,0.275074124023467,1.0,3,5,3->5,0.1635574091702936,0.6766945378840289,0.3060409139051108,-0.1635574091702936,-0.6766945378840289,0.3060409139051108,0.0,True,False,True
openai,CP04,semantic,0.25,0.7870141430400062,2.065228117046592,0.3810785532813134,0.99,0.6456695132428628,2.8123987011537146,0.2295796513410397,1.0,3,5,3->5,0.21891172945001328,0.6598969074799346,0.26567022086897396,-0.21891172945001328,-0.6598969074799346,0.26567022086897396,0.010000000000000009,True,False,True
openai,CP04,semantic,0.5,0.6749932467068711,1.7712706235886986,0.3810785532813134,0.998,0.5254332772449731,2.288675299294901,0.2295796513410397,1.0,3,5,3->5,0.2846412207580232,0.6598969074799346,0.22607168254299997,-0.2846412207580232,-0.6598969074799346,0.22607168254299997,0.0020000000000000018,True,False,True
openai,CP04,semantic,0.75,0.4443680920784775,1.1660800332430243,0.3810785532813134,0.818,0.328147221350126,1.429339313973713,0.2295796513410397,0.992,3,5,3->5,0.3541729539874615,0.6598969074799346,0.18418249477711507,-0.3541729539874615,-0.6598969074799346,0.18418249477711507,0.17400000000000004,True,False,True
openai,CP04,semantic,1.0,0.5410678033086675,1.4198327317288033,0.3810785532813134,0.962,0.4321418787811318,1.8823178633509927,0.2295796513410397,1.0,3,5,3->5,0.25206056130168253,0.6598969074799346,0.2456998048134395,-0.25206056130168253,-0.6598969074799346,0.2456998048134395,0.038000000000000034,True,False,True
openai,CP04,context_removal,0.25,0.7372788400158399,1.9347161724726565,0.3810785532813134,0.991,0.6048641846510682,2.634659392145102,0.2295796513410397,1.0,3,5,3->5,0.218916343081478,0.6598969074799346,0.26566744140029486,-0.218916343081478,-0.6598969074799346,0.26566744140029486,0.009000000000000008,True,False,True
